STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160101,0,0,0,42,34,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160102,0,0,0,40,32,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160103,0,0,0,45,35,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160104,0,0,0,36,14,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160105,0,0,0,29,11,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160106,0,0,0,41,25,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160107,0,0,0,46,31,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160108,0,0,0,46,31,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160109,0,0,0,47,40,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160110,1.8,0,0,59,40,9.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160111,0,0,0,40,26,10.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160112,0,0,0,44,25,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160113,0,0,0,30,22,9.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160114,0,0,0,38,22,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160115,0,0,0,51,34,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160116,0.24,0,0,52,42,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160117,0.05,0,0.4,42,30,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160118,0,0,0,31,18,11.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160119,0,0,0,28,16,11
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160120,0,0,0,37,27,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160121,0,0,0,36,26,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160122,0.01,0,0.2,30,21,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160123,2.31,5.9,27.3,27,24,15.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160124,0,22,0,35,20,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160125,0,18.9,0,39,28,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160126,0,16.9,0,48,38,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160127,0,9.1,0,47,34,6.7
